file;id;trep;day;t0cit;tfcit;tcit;volts;agreg;unicel;ratio;pa;pu;volmin;aml;uml
CA1_0h.027;CA;CA1;0h;19:00:07;19:02:09;00:02:02;6.315;2474;5583;0.4431;30.71;69.29;11.28;109663.12;247473.40
CA1_24H.024;CA;CA1;24h;18:29:33;18:31:35;00:02:02;6.315;2493;7167;0.3478;25.81;74.19;11.28;110505.32;317686.17
CA1_48h.036;CA;CA1;48h;18:09:23;18:11:25;00:02:02;6.305;2438;8787;0.2775;21.72;78.28;12.27;99348.00;358068.46
CA2_0h.028;CA;CA2;0h;19:03:02;19:05:04;00:02:02;6.315;2244;5160;0.4349;30.31;69.69;11.28;99468.09;228723.40
CA2_24H.025;CA;CA2;24h;18:33:00;18:35:03;00:02:03;6.315;2399;6054;0.3963;28.38;71.62;11.28;106338.65;268351.06
CA2_48h.037;CA;CA2;48h;18:12:11;18:14:13;00:02:02;6.305;2184;6249;0.3495;25.90;74.10;12.27;88997.56;254645.48
CA3_0h.029;CA;CA3;0h;19:05:39;19:07:41;00:02:02;6.315;2476;5817;0.4256;29.86;70.14;11.28;109751.77;257845.74
CA3_24H.026;CA;CA3;24h;18:35:49;18:37:51;00:02:02;6.315;1969;5713;0.3447;25.63;74.37;11.28;87278.37;253235.82
CA3_48h.038;CA;CA3;48h;18:14:56;18:16:58;00:02:02;6.305;1973;7247;0.2723;21.40;78.60;12.27;80399.35;295313.77
CB1_0h.030;CB;CB1;0h;19:08:19;19:10:22;00:02:03;6.315;1070;2699;0.3964;28.39;71.61;11.28;47429.08;119636.52
CB1_24H.027;CB;CB1;24h;18:38:51;18:40:54;00:02:03;6.315;1358;4848;0.2801;21.88;78.12;11.28;60195.04;214893.62
CB1_48h.039;CB;CB1;48h;18:17:38;18:19:40;00:02:02;6.305;1297;5669;0.2288;18.62;81.38;12.27;52852.49;231010.59
CB2_0h.031;CB;CB2;0h;19:11:05;19:13:08;00:02:03;6.315;1469;3551;0.4137;29.26;70.74;11.28;65115.25;157402.48
CB2_24H.028;CB;CB2;24h;18:41:27;18:43:29;00:02:02;6.315;1353;4867;0.2780;21.75;78.25;11.28;59973.40;215735.82
CB2_48h.040;CB;CB2;48h;18:20:28;18:22:30;00:02:02;6.305;1065;5558;0.1916;16.08;83.92;12.27;43398.53;226487.37
CB3_0h.032;CB;CB3;0h;19:13:39;19:15:41;00:02:02;6.315;1843;4316;0.4270;29.92;70.08;11.28;81693.26;191312.06
CB3_24H.029;CB;CB3;24h;18:44:04;18:46:06;00:02:02;6.315;1217;4593;0.2650;20.95;79.05;11.28;53945.04;203590.43
CB3_48h.041;CB;CB3;48h;18:23:23;18:25:26;00:02:03;6.305;1358;6498;0.2090;17.29;82.71;12.27;55338.22;264792.18
L1_0h.036;L;L1;0h;19:24:11;19:26:13;00:02:02;6.315;2424;10409;0.2329;18.89;81.11;11.28;107446.81;461391.84
L1_24H.033;L;L1;24h;18:56:35;18:58:37;00:02:02;6.315;2269;8150;0.2784;21.78;78.22;11.28;100576.24;361258.87
L1_48h.045;L;L1;48h;18:34:18;18:36:20;00:02:02;6.305;2366;8450;0.2800;21.88;78.13;12.27;96414.02;344335.78
L2_0h.037;L;L2;0h;19:26:51;19:28:54;00:02:03;6.315;2502;10170;0.2460;19.74;80.26;11.28;110904.26;450797.87
L2_24H.034;L;L2;24h;18:59:31;19:01:34;00:02:03;6.315;2342;8457;0.2769;21.69;78.31;11.28;103812.06;374867.02
L2_48h.046;L;L2;48h;18:37:01;18:39:04;00:02:03;6.305;2764;9637;0.2868;22.29;77.71;12.27;112632.44;392705.79
L3_0h.038;L;L3;0h;19:29:22;19:31:24;00:02:02;6.315;2551;9942;0.2566;20.42;79.58;11.28;113076.24;440691.49
L3_24H.035;L;L3;24h;19:02:16;19:04:19;00:02:03;6.315;2085;8247;0.2528;20.18;79.82;11.28;92420.21;365558.51
L3_48h.047;L;L3;48h;18:39:48;18:41:50;00:02:02;6.305;2558;9705;0.2636;20.86;79.14;12.27;104237.98;395476.77
Q1_0h.033;Q;Q1;0h;19:16:33;19:18:35;00:02:02;6.315;1663;3563;0.4667;31.82;68.18;11.28;73714.54;157934.40
Q1_24H.030;Q;Q1;24h;18:46:43;18:48:46;00:02:03;6.315;1409;5124;0.2750;21.57;78.43;11.28;62455.67;227127.66
Q1_48h.042;Q;Q1;48h;18:26:13;18:28:16;00:02:03;6.305;1110;5008;0.2216;18.14;81.86;12.27;45232.27;204074.98
Q2_0h.034;Q;Q2;0h;19:19:01;19:21:03;00:02:02;6.315;2141;4593;0.4661;31.79;68.21;11.28;94902.48;203590.43
Q2_24H.031;Q;Q2;24h;18:49:26;18:51:29;00:02:03;6.315;1341;4732;0.2834;22.08;77.92;11.28;59441.49;209751.77
Q2_48h.043;Q;Q2;48h;18:28:49;18:30:52;00:02:03;6.305;1499;5939;0.2524;20.15;79.85;12.27;61083.94;242013.04
Q3_0h.035;Q;Q3;0h;19:21:38;19:23:40;00:02:02;6.315;2030;4395;0.4619;31.60;68.40;11.28;89982.27;194813.83
Q3_24H.032;Q;Q3;24h;18:53:56;18:55:59;00:02:03;6.315;1514;4637;0.3265;24.61;75.39;11.28;67109.93;205540.78
Q3_48h.044;Q;Q3;48h;18:31:32;18:33:34;00:02:02;6.305;1033;4994;0.2068;17.14;82.86;12.27;42094.54;203504.48
